x_value,total_1,total_2
194,1266,1110
195,1260,1111
196,1266,1114
197,1274,1115
198,1278,1119
199,1279,1117
200,1274,1120
201,1268,1122
202,1275,1125
203,1283,1130
204,1279,1135
205,1279,1137
206,1283,1137
207,1283,1135
208,1278,1139
209,1275,1139
210,1275,1138
211,1281,1133
212,1287,1131
213,1286,1134
214,1281,1133
215,1278,1129
216,1278,1134
217,1286,1138
218,1290,1140
219,1284,1138
220,1291,1136
221,1287,1136
222,1293,1134
223,1288,1135
224,1284,1134
225,1287,1140
226,1288,1140
227,1287,1139
228,1282,1143
229,1283,1138
230,1279,1134
231,1276,1137
232,1279,1142
233,1286,1142
234,1282,1137
235,1277,1134
236,1282,1139
237,1287,1134
238,1290,1129
239,1289,1130
240,1288,1127
241,1283,1133
242,1280,1137
243,1287,1138
244,1282,1142
245,1280,1141
246,1285,1146
247,1280,1146
248,1287,1143
249,1281,1140
250,1278,1142
251,1279,1146
252,1277,1150
253,1284,1148
254,1289,1152
255,1286,1155
256,1285,1155
257,1283,1151
258,1287,1148
259,1281,1149
260,1289,1153
261,1283,1157
262,1291,1155
263,1297,1151
264,1303,1149
265,1305,1146
266,1303,1143
267,1304,1148
268,1300,1153
269,1304,1152
270,1308,1153
271,1303,1157
272,1311,1154
273,1318,1157
274,1315,1161
275,1319,1164
276,1314,1160
277,1316,1157
278,1317,1161
279,1324,1157
280,1318,1162
281,1325,1160
282,1333,1164
283,1339,1161
284,1336,1161
285,1341,1156
286,1345,1152
287,1343,1150
288,1338,1146
289,1345,1144
290,1344,1142
291,1348,1137
292,1344,1137
293,1350,1143
294,1346,1145
295,1346,1142
296,1352,1140
297,1355,1135
298,1355,1136
299,1352,1134
300,1358,1139
301,1358,1145
302,1356,1150
303,1364,1147
304,1368,1147
305,1375,1145
306,1372,1148
307,1376,1150
308,1379,1149
309,1374,1146
310,1375,1143
311,1376,1147
312,1376,1145
313,1380,1140
314,1386,1136
315,1390,1135
316,1389,1135
317,1391,1138
318,1392,1142
319,1397,1146
320,1396,1151
321,1399,1157
322,1401,1162
323,1402,1164
324,1397,1170
325,1396,1173
326,1404,1175
327,1398,1170
328,1395,1166
329,1395,1170
330,1394,1168
331,1399,1170
332,1400,1166
333,1404,1167
334,1408,1162
335,1412,1161
336,1409,1159
337,1405,1154
338,1401,1149
339,1409,1150
340,1413,1150
341,1411,1154
342,1411,1160
343,1413,1155
344,1421,1160
345,1429,1165
346,1436,1162
347,1442,1166
348,1447,1163
349,1449,1164
350,1444,1163
351,1448,1163
352,1453,1158
353,1458,1157
354,1466,1161
355,1467,1156
356,1465,1153
357,1462,1154
358,1468,1156
359,1462,1158
360,1459,1155
361,1466,1153
362,1466,1149
363,1461,1152
364,1459,1153
365,1458,1154
366,1453,1159
367,1450,1164
368,1452,1164
369,1446,1161
370,1454,1163
371,1449,1166
372,1448,1163
373,1451,1168
374,1445,1165
375,1440,1164
376,1445,1161
377,1450,1166
378,1446,1161
379,1442,1159
380,1449,1156
381,1452,1159
382,1458,1165
383,1455,1163
384,1456,1163
385,1462,1167
386,1468,1172
387,1463,1178
388,1465,1184
389,1471,1184
390,1473,1186
391,1472,1183
392,1466,1184
393,1464,1188
394,1464,1190
395,1466,1189
396,1462,1185
397,1466,1187
398,1472,1185
399,1473,1180
400,1475,1179
401,1481,1185
402,1476,1190
403,1473,1195
404,1476,1198
405,1477,1195
406,1476,1198
407,1478,1201
408,1478,1203
409,1475,1207
410,1482,1203
411,1489,1209
412,1485,1215
413,1491,1216
414,1495,1221
415,1492,1225
416,1491,1220
417,1497,1218
418,1494,1220
419,1498,1221
420,1495,1218
421,1495,1221
422,1492,1219
423,1495,1223
424,1497,1222
425,1491,1225
426,1488,1224
427,1495,1228
428,1492,1228
429,1489,1224
430,1494,1227
431,1493,1224
432,1489,1220
433,1490,1224
434,1495,1229
435,1496,1233
436,1490,1234
437,1484,1236
438,1490,1240
439,1486,1239
440,1490,1235
441,1486,1236
442,1480,1234
443,1478,1231
444,1485,1230
445,1492,1225
446,1489,1222
447,1493,1220
448,1489,1220
449,1487,1216
450,1486,1220
451,1490,1216
452,1487,1213
453,1486,1209
454,1494,1210
455,1497,1216
456,1504,1214
457,1502,1212
458,1501,1218
459,1505,1220
460,1505,1224
461,1505,1225
462,1506,1227
463,1512,1231
464,1517,1230
465,1524,1227
466,1523,1229
467,1525,1228
468,1530,1228
469,1529,1230
470,1524,1227
471,1525,1224
472,1532,1220
473,1528,1215
474,1524,1218
475,1520,1221
476,1520,1216
477,1524,1218
478,1523,1217
479,1519,1216
480,1526,1214
481,1532,1210
482,1536,1208
483,1542,1211
484,1541,1208
485,1535,1204
486,1542,1206
487,1547,1207
488,1543,1202
489,1542,1198
490,1536,1204
491,1537,1201
492,1542,1207
493,1537,1208
494,1533,1203
495,1529,1207
496,1535,1202
497,1541,1199
498,1536,1201
499,1541,1203
500,1541,1199
501,1549,1196
502,1543,1195
503,1550,1196
504,1554,1198
505,1550,1198
506,1544,1197
507,1543,1198
508,1551,1203
509,1555,1201
510,1561,1207
511,1558,1205
512,1564,1208
513,1568,1205
514,1565,1204
515,1566,1209
516,1574,1204
517,1572,1206
518,1573,1202
519,1576,1199
520,1578,1204
521,1582,1209
522,1581,1208
523,1588,1213
524,1586,1209
525,1580,1208
526,1576,1205
527,1583,1208
528,1586,1211
529,1588,1207
530,1592,1208
531,1600,1208
532,1605,1207
533,1613,1206
534,1620,1211
535,1614,1217
536,1610,1214
537,1615,1210
538,1616,1206
539,1613,1201
540,1620,1207
541,1620,1212
542,1627,1218
543,1621,1215
544,1620,1219
545,1614,1220
546,1615,1224
547,1612,1228
548,1620,1224
549,1624,1227
550,1623,1233
551,1626,1237
552,1620,1233
553,1620,1237
554,1618,1233
555,1623,1228
556,1625,1228
557,1623,1234
558,1620,1238
559,1627,1242
560,1633,1237
561,1638,1232
562,1640,1235
563,1638,1232
564,1641,1228
565,1639,1234
566,1640,1229
567,1640,1224
568,1642,1224
569,1641,1224
570,1640,1230
571,1648,1232
572,1656,1229
573,1657,1234
574,1651,1240
575,1651,1239
576,1651,1234
577,1655,1239
578,1652,1236
579,1652,1233
580,1656,1233
581,1664,1236
582,1659,1237
583,1654,1238
584,1650,1237
585,1651,1242
586,1651,1239
587,1646,1235
588,1652,1235
589,1654,1241
590,1660,1236
591,1654,1233
592,1651,1238
593,1651,1236
594,1658,1238
595,1657,1238
596,1654,1236
597,1650,1237
598,1657,1232
599,1661,1229
600,1665,1228
601,1665,1225
602,1666,1231
603,1660,1229
604,1659,1232
605,1655,1231
606,1661,1228
607,1657,1231
608,1656,1236
609,1651,1241
610,1653,1246
611,1649,1245
612,1656,1249
613,1657,1245
614,1659,1251
615,1654,1257
616,1648,1258
617,1648,1255
618,1647,1250
619,1652,1251
620,1648,1248
621,1655,1246
622,1660,1248
623,1661,1245
624,1668,1246
625,1662,1244
